ticker,company,title,date,source
ORA.PA,Orange,Vigilance orange avalanche dans les Alpes Maritimes - francebleu.fr,2026-01-27,francebleu.fr
ORA.PA,Orange,Le jus d’orange brésilien a redessiné la flotte des navires de transport spécialisés - Mer et Marine,2026-01-25,Mer et Marine
ORA.PA,Orange,Internet : le retard de l’arrivée de la fibre optique oblige Orange à reporter la fermeture commerciale de son réseau ADSL - Le Monde.fr,2026-01-06,Le Monde.fr
RF.PA,Eurazeo,"EURAZEO : Sous les résistances, une consolidation est probable - Boursorama",2026-01-27,Boursorama
RF.PA,Eurazeo,Karine Bostyn a acquis des titres Eurazeo - Boursier.com,2026-01-22,Boursier.com
RF.PA,Eurazeo,Eurazeo conclut un accord exclusif avec L Catterton - Finyear,2026-01-23,Finyear
RF.PA,Eurazeo,McDermott Will & Schulte conseille Eurazeo dans le cadre de la conclusion d’un accord exclusif pour la cession de sa participation dans EX NIHILO à L Catterton - Le Monde du Droit,2026-01-26,Le Monde du Droit
RF.PA,Eurazeo,"Le titre Eurazeo sous pression, entre doutes sectoriels et lenteur du déploiement de la stratégie - Les Echos",2025-12-11,Les Echos
RF.PA,Eurazeo,Eurazeo investit 192 millions d'euros dans l'allemand terralayr - Idéal Investisseur,2026-01-19,Idéal Investisseur
RF.PA,Eurazeo,Eurazeo investit dans PCG Power... - Fortuneo,2026-01-21,Fortuneo
RF.PA,Eurazeo,Eurazeo accompagne l’essor de Valto et renforce sa stratégie de dette privée au service de la formation réglementaire - ZoomInvest,2026-01-16,ZoomInvest
RF.PA,Eurazeo,Eurazeo revend à L Catterton ses parts dans le parfumeur Ex Nihilo - L'Agefi,2026-01-20,L'Agefi
RF.PA,Eurazeo,"Morgan Lewis conseille Eurazeo, Trocadero Capital Partners et Bpifrance dans leur réinvestissement au capital d’Eowin - Morgan Lewis",2025-11-24,Morgan Lewis
MF.PA,Wendel,"L’audacieux ""BaRcoDe"" de l'architecte sonore Ben Wendel - Radio France",2026-01-27,Radio France
MF.PA,Wendel,Wendel Invest. le virage stratégique de l'asset management se précise - ABC Bourse,2026-01-27,ABC Bourse
MF.PA,Wendel,Stiring-Wendel | Nécrologie. Mme Françoise Baumert - republicain-lorrain.fr,2026-01-27,republicain-lorrain.fr
MF.PA,Wendel,Journée en légère hausse pour Wendel - Boursier.com,2026-01-23,Boursier.com
MF.PA,Wendel,WENDEL : L'indécision domine - Boursorama,2026-01-26,Boursorama
MF.PA,Wendel,"Action Wendel bondit de 6,8 % à l'ouverture, portée par l'annonce d'un retour aux actionnaires - Idéal Investisseur",2025-12-12,Idéal Investisseur
MF.PA,Wendel,Wendel – Forte poussée dans la gestion pour compte de tiers - News Asset Pro,2026-01-19,News Asset Pro
MF.PA,Wendel,Wendel en pleine offensive de charme XXL auprès de ses actionnaires - Les Echos,2025-12-12,Les Echos
MF.PA,Wendel,« Nous avons créé les conditions d’une croissance solide » : Wendel poursuit sa transformation en gestionnaire d’actifs - Challenges,2025-12-12,Challenges
MF.PA,Wendel,Wendel mise sur IK pour dynamiser sa gestion pour compte propre - cfnews.net,2026-01-13,cfnews.net
TTE.PA,TotalEnergies,TotalEnergies : contrat de 10 ans d'électricité renouvelable avec le papetier SWM - Boursier.com,2026-01-27,Boursier.com
TTE.PA,TotalEnergies,"Malgré des bénéfices de 15 milliards d'euros, TotalEnergies n'augmentera pas ses salaires - France Info",2026-01-27,France Info
TTE.PA,TotalEnergies,"TotalEnergies va investir 6,8 millions d’euros dans cette station-service des Côtes-d’Armor sur la RN12 - Ouest-France",2026-01-26,Ouest-France
TTE.PA,TotalEnergies,Recyclage du plastique : la grande arnaque de TotalEnergies - Mediapart,2026-01-27,Mediapart
TTE.PA,TotalEnergies,"Cac 40 : Totalenergies, Sanofi, BNP Paribas, Axa, LVMH… Voici les groupes du CAC 40 qui ont le plus rendu de cash à leurs actionnaires en 2025 - BFM Bourse",2026-01-25,BFM Bourse
TTE.PA,TotalEnergies,TotalEnergies : du nouveau en Libye - Boursier.com,2026-01-26,Boursier.com
TTE.PA,TotalEnergies,"TotalEnergies va doper ses investissements en Libye, le titre monte - Les Echos",2026-01-26,Les Echos
TTE.PA,TotalEnergies,Totalenergies : TotalEnergies prolonge les concessions de Waha jusqu’à 2050 pour en accroître la production - BFM Bourse,2026-01-26,BFM Bourse
TTE.PA,TotalEnergies,"TotalEnergies, meilleure opportunité pour le T1 ? Solide dividende et fort potentiel - Investing.com France",2026-01-27,Investing.com France
TTE.PA,TotalEnergies,"Sur la N12, TotalEnergies annonce une rénovation de la station multiservices de Coëtmieux pour 6,8 M - letelegramme.fr",2026-01-26,letelegramme.fr
ENGI.PA,Engie,Réseau de chaleur parisien : Engie dépose des recours pour faire annuler le contrat de Dalkia - Le Monde.fr,2026-01-26,Le Monde.fr
ENGI.PA,Engie,Engie dépose un recours dans le dossier d’attribution du réseau de chauffage urbain à Paris - Le Figaro,2026-01-26,Le Figaro
ENGI.PA,Engie,Engie ouvre un gigantesque parc de batteries - BFM,2026-01-26,BFM
ENGI.PA,Engie,HRS : une avancée dans le partenariat avec Toyota Motor Europe et ENGIE Lab CRIGEN... - Fortuneo,2026-01-26,Fortuneo
ENGI.PA,Engie,ENGIE : Attendre une correction pour se positionner - Boursorama,2026-01-26,Boursorama
ENGI.PA,Engie,"HYDROGEN REFUELING SOLUTIONS (HRS) : HRS, TOYOTA MOTOR EUROPE ET ENGIE FRANCHISSENT UNE ÉTAPE CLÉ DANS LE DÉVE - Boursorama",2026-01-26,Boursorama
ENGI.PA,Engie,Transition énergétique: un méga parc de batteries inauguré en Belgique par Engie - Boursorama,2026-01-26,Boursorama
ENGI.PA,Engie,L’Engie Open reprend du service à Andrézieux-Bouthéon - if-saint-etienne.fr,2026-01-27,if-saint-etienne.fr
